date,repo,issues_opened_external,issues_closed_via_pr_external,issues_closed_other_external,prs_opened_core,pr_reviews_external
2026-04-19,features,0,0,0,0,0
2026-04-19,agents,0,0,0,0,0
2026-04-19,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-19,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-20,fullsend,0,0,0,7,0
2026-04-20,.fullsend,0,0,0,0,0
2026-04-20,experiments,0,0,0,0,0
2026-04-20,metrics,0,0,0,0,0
2026-04-20,features,0,0,0,0,0
2026-04-20,agents,0,0,0,0,0
2026-04-20,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-20,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-21,fullsend,9,0,0,11,0
2026-04-21,.fullsend,0,0,0,0,0
2026-04-21,experiments,0,0,0,1,0
2026-04-21,metrics,0,0,0,0,0
2026-04-21,features,0,0,0,0,0
2026-04-21,agents,0,0,0,0,0
2026-04-21,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-21,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-22,fullsend,1,0,0,10,0
2026-04-22,.fullsend,0,0,0,0,0
2026-04-22,experiments,0,0,0,0,0
2026-04-22,metrics,0,0,0,0,0
2026-04-22,features,0,0,0,0,0
2026-04-22,agents,0,0,0,0,0
2026-04-22,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-22,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-23,fullsend,0,0,0,20,0
2026-04-23,.fullsend,0,0,0,1,0
2026-04-23,experiments,0,0,0,4,0
2026-04-23,metrics,0,0,0,0,0
2026-04-23,features,0,0,0,0,0
2026-04-23,agents,0,0,0,0,0
2026-04-23,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-23,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-24,fullsend,0,0,0,7,0
2026-04-24,.fullsend,0,0,0,3,0
2026-04-24,experiments,0,0,0,0,0
2026-04-24,metrics,0,0,0,0,0
2026-04-24,features,0,0,0,0,0
2026-04-24,agents,0,0,0,0,0
2026-04-24,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-24,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-25,fullsend,0,0,0,1,0
2026-04-25,.fullsend,0,0,0,0,0
2026-04-25,experiments,0,0,0,0,0
2026-04-25,metrics,0,0,0,0,0
2026-04-25,features,0,0,0,0,0
2026-04-25,agents,0,0,0,0,0
2026-04-25,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-25,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-26,fullsend,0,0,0,0,0
2026-04-26,.fullsend,0,0,0,0,0
2026-04-26,experiments,0,0,0,0,0
2026-04-26,metrics,0,0,0,0,0
2026-04-26,features,0,0,0,0,0
2026-04-26,agents,0,0,0,0,0
2026-04-26,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-26,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-27,fullsend,2,0,1,2,3
2026-04-27,.fullsend,0,0,0,0,0
2026-04-27,experiments,0,0,0,2,0
2026-04-27,metrics,0,0,0,0,0
2026-04-27,features,0,0,0,0,0
2026-04-27,agents,0,0,0,0,0
2026-04-27,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-27,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-28,fullsend,10,0,1,8,0
2026-04-28,.fullsend,0,0,0,0,0
2026-04-28,experiments,0,0,0,0,0
2026-04-28,metrics,0,0,0,0,0
2026-04-28,features,0,0,0,0,0
2026-04-28,agents,0,0,0,0,0
2026-04-28,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-28,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-29,fullsend,1,2,0,6,0
2026-04-29,.fullsend,0,0,0,0,0
2026-04-29,experiments,0,0,0,2,0
2026-04-29,metrics,0,0,0,0,0
2026-04-29,features,0,0,0,0,0
2026-04-29,agents,0,0,0,0,0
2026-04-29,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-29,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-30,fullsend,2,1,1,6,0
2026-04-30,.fullsend,0,0,0,1,0
2026-04-30,experiments,0,0,0,0,0
2026-04-30,metrics,0,0,0,0,0
2026-04-30,features,0,0,0,0,0
2026-04-30,agents,0,0,0,0,0
2026-04-30,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-30,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-01,fullsend,1,0,0,5,0
2026-05-01,.fullsend,0,0,0,2,0
2026-05-01,experiments,0,0,0,0,0
2026-05-01,metrics,0,0,0,0,0
2026-05-01,features,0,0,0,0,0
2026-05-01,agents,0,0,0,0,0
2026-05-01,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-01,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-02,fullsend,0,0,0,6,0
2026-05-02,.fullsend,0,0,0,0,0
2026-05-02,experiments,0,0,0,0,0
2026-05-02,metrics,0,0,0,0,0
2026-05-02,features,0,0,0,0,0
2026-05-02,agents,0,0,0,0,0
2026-05-02,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-02,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-03,fullsend,0,0,0,4,0
2026-05-03,.fullsend,0,0,0,0,0
2026-05-03,experiments,0,0,0,0,0
2026-05-03,metrics,0,0,0,0,0
2026-05-03,features,0,0,0,0,0
2026-05-03,agents,0,0,0,0,0
2026-05-03,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-03,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-04,fullsend,13,2,1,1,0
2026-05-04,.fullsend,0,0,0,2,0
2026-05-04,experiments,0,0,0,0,0
2026-05-04,metrics,0,0,0,0,0
2026-05-04,features,0,0,0,0,0
2026-05-04,agents,0,0,0,0,0
2026-05-04,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-04,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-05,fullsend,0,1,0,9,0
2026-05-05,.fullsend,0,0,0,0,0
2026-05-05,experiments,0,0,0,0,0
2026-05-05,metrics,0,0,0,0,0
2026-05-05,features,0,0,0,0,0
2026-05-05,agents,0,0,0,0,0
2026-05-05,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-05,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-06,fullsend,1,0,1,12,0
2026-05-06,.fullsend,0,0,0,4,0
2026-05-06,experiments,0,0,0,0,0
2026-05-06,metrics,0,0,0,0,0
2026-05-06,features,0,0,0,0,0
2026-05-06,agents,0,0,0,0,0
2026-05-06,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-06,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-07,fullsend,2,0,0,12,0
2026-05-07,.fullsend,0,0,0,1,0
2026-05-07,experiments,0,0,0,0,0
2026-05-07,metrics,0,0,0,0,0
2026-05-07,features,0,0,0,0,0
2026-05-07,agents,0,0,0,0,0
2026-05-07,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-07,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-08,fullsend,4,1,1,9,0
2026-05-08,.fullsend,0,0,0,2,0
2026-05-08,experiments,0,0,0,1,0
2026-05-08,metrics,0,0,0,0,0
2026-05-08,features,0,0,0,0,0
2026-05-08,agents,0,0,0,0,0
2026-05-08,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-08,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-09,fullsend,0,0,0,3,0
2026-05-09,.fullsend,0,0,0,0,0
2026-05-09,experiments,0,0,0,0,0
2026-05-09,metrics,0,0,0,0,0
2026-05-09,features,0,0,0,0,0
2026-05-09,agents,0,0,0,0,0
2026-05-09,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-09,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-10,fullsend,0,0,0,2,0
2026-05-10,.fullsend,0,0,0,0,0
2026-05-10,experiments,0,0,0,0,0
2026-05-10,metrics,0,0,0,0,0
2026-05-10,features,0,0,0,0,0
2026-05-10,agents,0,0,0,0,0
2026-05-10,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-10,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-11,fullsend,0,0,0,4,0
2026-05-11,.fullsend,0,0,0,1,0
2026-05-11,experiments,0,0,0,0,0
2026-05-11,metrics,0,0,0,0,0
2026-05-11,features,0,0,0,0,0
2026-05-11,agents,0,0,0,0,0
2026-05-11,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-11,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-12,fullsend,5,0,2,7,0
2026-05-12,.fullsend,0,0,0,2,0
2026-05-12,experiments,0,0,0,0,0
2026-05-12,metrics,0,0,0,0,0
2026-05-12,features,0,0,0,0,0
2026-05-12,agents,0,0,0,0,0
2026-05-12,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-12,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-13,fullsend,0,0,0,8,0
2026-05-13,.fullsend,0,0,0,0,0
2026-05-13,experiments,0,0,0,0,0
2026-05-13,metrics,0,0,0,0,0
2026-05-13,features,0,0,0,0,0
2026-05-13,agents,0,0,0,0,0
2026-05-13,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-13,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-14,fullsend,2,0,1,17,0
2026-05-14,.fullsend,0,0,0,0,0
2026-05-14,experiments,0,0,0,0,0
2026-05-14,metrics,0,0,0,0,0
2026-05-14,features,0,0,0,0,0
2026-05-14,agents,0,0,0,0,0
2026-05-14,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-14,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-15,fullsend,0,0,2,24,0
2026-05-15,.fullsend,0,0,0,3,0
2026-05-15,experiments,0,0,0,0,0
2026-05-15,metrics,0,0,0,0,0
2026-05-15,features,0,0,0,0,0
2026-05-15,agents,0,0,0,0,0
2026-05-15,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-05-15,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-05-16,fullsend,0,0,0,7,0
2026-05-16,.fullsend,0,0,0,2,0
2026-05-16,experiments,0,0,0,0,0
2026-05-16,metrics,0,0,0,0,0
