date,repo,feat,fix,docs,ci,chore,test,perf,other,fix_core,fix_external,fix_bot,fix_unlinked
2026-06-27,agents,0,1,0,0,1,0,0,0,1,0,0,0
2026-06-28,fullsend,0,1,0,0,4,0,0,0,0,0,0,1
2026-06-28,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-29,fullsend,6,6,2,0,3,0,0,1,1,1,1,3
2026-06-29,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30,fullsend,5,5,3,0,2,0,0,3,1,0,0,4
2026-06-30,agents,1,0,0,0,0,0,0,0,0,0,0,0
2026-07-01,fullsend,3,13,5,2,3,0,0,1,9,0,2,2
2026-07-01,agents,1,0,0,0,1,0,0,3,0,0,0,0
2026-07-02,fullsend,1,4,4,0,1,0,1,2,3,0,0,1
2026-07-02,agents,1,0,1,0,0,0,0,0,0,0,0,0
2026-07-03,fullsend,0,3,0,0,3,1,0,0,0,1,1,1
2026-07-03,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-04,fullsend,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-04,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-05,fullsend,4,1,1,0,3,0,0,0,0,0,0,1
2026-07-05,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-06,fullsend,1,2,3,2,2,0,0,1,2,0,0,0
2026-07-06,agents,1,1,1,0,0,0,0,0,1,0,0,0
2026-07-07,fullsend,1,2,3,0,4,0,2,1,1,0,0,1
2026-07-07,agents,0,1,1,0,2,0,0,0,0,0,0,1
2026-07-08,fullsend,3,3,0,2,2,0,0,0,0,0,1,2
2026-07-08,agents,0,4,1,5,0,0,0,0,1,0,2,1
2026-07-09,fullsend,1,2,2,0,2,0,0,0,0,0,0,2
2026-07-09,agents,1,1,0,2,0,0,0,0,0,0,1,0
2026-07-10,fullsend,4,4,4,0,4,0,0,1,1,0,1,2
2026-07-10,agents,1,4,0,0,1,0,0,0,2,0,1,1
2026-07-11,fullsend,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-11,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-12,fullsend,0,0,0,0,1,0,0,0,0,0,0,0
2026-07-12,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-13,fullsend,0,3,0,0,6,1,0,0,0,0,1,2
2026-07-13,agents,0,4,2,1,2,0,0,0,0,0,3,1
2026-07-14,fullsend,2,0,6,0,2,0,0,0,0,0,0,0
2026-07-14,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15,fullsend,1,1,2,0,3,0,0,1,1,0,0,0
2026-07-15,agents,0,2,0,0,0,0,0,0,1,0,0,1
2026-07-16,fullsend,0,2,2,1,1,1,0,2,0,0,0,2
2026-07-16,agents,2,3,0,0,1,0,0,0,2,0,0,1
2026-07-17,fullsend,4,3,0,0,3,0,0,1,3,0,0,0
2026-07-17,agents,0,2,0,0,0,0,1,0,0,0,1,1
2026-07-18,fullsend,0,1,2,0,1,0,0,0,1,0,0,0
2026-07-18,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-19,fullsend,0,1,0,0,0,2,0,1,0,0,0,1
2026-07-19,agents,1,1,0,0,0,0,0,0,1,0,0,0
2026-07-20,fullsend,3,2,2,0,5,0,0,0,0,0,2,0
2026-07-20,agents,1,2,0,0,0,0,0,0,0,0,2,0
2026-07-21,fullsend,5,6,6,1,2,1,0,1,5,0,1,0
2026-07-21,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-22,fullsend,1,2,4,2,3,0,0,0,1,0,1,0
